symboling,normalized_losses,car_company,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,city_L/100km,horsepower_binned,diesel,gas,price
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,11.19047619,Medium,0,1,13495
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,11.19047619,Medium,0,1,16500
1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,12.36842105,Medium,0,1,16500
2,164,audi,std,four,sedan,fwd,front,99.8,0.848630466,0.919444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,9.791666667,Medium,0,1,13950
2,164,audi,std,four,sedan,4wd,front,99.4,0.848630466,0.922222222,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,13.05555556,Medium,0,1,17450
2,122,audi,std,two,sedan,fwd,front,99.8,0.851994234,0.920833333,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,12.36842105,Medium,0,1,15250
1,158,audi,std,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,12.36842105,Medium,0,1,17710
1,122,audi,std,four,wagon,fwd,front,105.8,0.925997117,0.991666667,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,12.36842105,Medium,0,1,18920
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,13.82352941,Medium,0,1,23875
2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,10.2173913,Low,0,1,16430
0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,10.2173913,Low,0,1,16925
0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,11.19047619,Medium,0,1,20970
0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,11.19047619,Medium,0,1,21105
1,122,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,11.75,Medium,0,1,24565
0,122,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,14.6875,High,0,1,30760
0,122,bmw,std,two,sedan,rwd,front,103.5,0.931283037,0.943055556,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,14.6875,High,0,1,41315
0,122,bmw,std,four,sedan,rwd,front,110,0.946660259,0.984722222,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,15.66666667,High,0,1,36880
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.678039404,0.8375,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5,Low,0,1,5151
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6.184210526,Low,0,1,6295
0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.763094666,0.883333333,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6.184210526,Low,0,1,6575
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,6.351351351,Low,0,1,5572
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6377
1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,9.791666667,Medium,0,1,7957
1,148,dodge,std,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6229
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6692
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,7609
1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,9.791666667,Medium,0,1,8558
-1,110,dodge,std,four,wagon,fwd,front,103.3,0.839019702,0.897222222,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,9.791666667,Low,0,1,8921
3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12.36842105,Medium,0,1,12964
2,137,honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,4.795918367,Low,0,1,6479
2,137,honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,7.580645161,Low,0,1,6855
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,6.184210526,Low,0,1,5399
